Song:,Artists:
Spanish Flea,Herb Alpert & The Tijuana Brass
El Jarabe tapatio,Mariachi Vargas De Tecalitlan
Benny Hill,TV Themes
Baby Elephant Walk,Henry Mancini
The Fishin' Hole - Remastered 1993,Andy Griffith
Left Bank Two (Vision On Gallery Theme),Wayne Hill
The Entertainer,"Scott Joplin,Morten Gunnar Larsen"
"River Kwai March (From ""The Bridge on the River Kwai"")",Movie Dreams Orchestra
Tunes of Glory,Mitch Miller & The Sing-Along Gang
William Tell Overture,"Gioachino Rossini,Arthur Fiedler,Boston Pops Orchestra"
The Nutcracker: Russian Dance,"Pyotr Ilyich Tchaikovsky,Slovak Radio Symphony Orchestra,"
March of the Toreadors,101 Strings Orchestra
"Pomp and Circumstance, Op. 39: No. 1 in D Major","Edward Elgar,BBC Philharmonic,Andrew Davis"
"Voices of Spring Waltz, Op. 410",Orchestra of the Viennese Volksoper & Alfred Scholz
"La traviata, Act I: Libiamo (Drinking Song)","Giuseppe Verdi,José Carreras,Plácido Domingo,London Symphony Orchestra"
Rondo Alla Turca,"Wolfgang Amadeus Mozart,Klára Würtz"
Morning' from Peer Gynt,Radio Orchestra Berlin
"Peer Gynt Suite No. 1, Op. 46: IV. In the Hall of the Mountain King","Edvard Grieg,Moscow Symphony Ochestra,Wiliam T. Strømberg"
"The Theme from ""A Summer Place"" - Single Version",Percy Faith & His Orchestra
"Lakmé / Act 1: ""Viens, Mallika, ... Dôme épais"" (Flower Duet)","Léo Delibes,Dame Joan Sutherland,Jane Berbié,Orchestre National de l'Opéra de Monte-Carlo,"
"Clair de Lune, L. 32","Claude Debussy,Martin Jones"
"Comptine d'un autre été, l'après-midi",Yann Tiersen
Gran vals,"Francisco Tárrega,Giulio Tampalini"
The Magnificent Seven - Suite,Elmer Bernstein
"The Raiders March - From ""Raiders Of The Lost Ark""","John Williams,London Symphony Orchestra,Gavin Greenaway"
Round the Bend,Ronald Aspery
Happy-Go-Lively,Laurie Johnson
Aloha Oe,George Kulokahai and His Island Serenaders
An Irish Party In Third Class,Nordsee
"Violin Concerto in E Major, RV 269, ""Spring"" from ""The Four Seasons"": III. Allegro","Antonio Vivaldi,Stuttgart Chamber Orchestra,,"
"Herz und Mund und Tat und Leben, Cantata BWV 147: 10. Jesu, Joy Of Man's Desiring (Arr. by Guillermo Figueroa)","Johann Sebastian Bach,Orpheus Chamber Orchestra"
